brand,model,ram_gb,ssd,processor_brand,processor_gnrtn,price_myr
ASUS,VivoBook,8,512,Intel,10th,2975.52
MSI,GF63,16,512,Intel,10th,3839.52
Lenovo,IdeaPad,8,512,Intel,10th,3311.52
Mi,Notebook,8,512,Intel,10th,2855.52
Lenovo,IdeaPad,16,512,Intel,11th,4127.52
Lenovo,Legion,16,512,Intel,11th,4799.52
Infinix,X1,16,512,Intel,10th,2639.52
ASUS,VivoBook,8,512,Intel,11th,3743.52
Lenovo,IdeaPad,8,512,Intel,11th,3839.52
HP,Pavilion,16,512,Intel,11th,4473.12
ASUS,ZenBook,16,512,Intel,11th,4559.52
Lenovo,Thinkbook,16,512,Intel,11th,4079.52
HP,Envy,16,512,Intel,11th,4943.52
ASUS,ASUS,16,512,Intel,11th,4559.52
HP,Envy,16,512,Intel,11th,4992.0
HP,Pavilion,16,512,Intel,11th,4329.12
MSI,Prestige,16,512,Intel,10th,5279.52
MSI,Sword,16,512,Intel,11th,4175.52
MSI,Prestige,16,512,Intel,11th,4319.52
HP,Spectre,16,512,Intel,10th,11508.43
ASUS,VivoBook,16,512,Intel,11th,3791.52
DELL,XPS,16,512,Intel,8th,5850.72
ASUS,ZenBook,16,512,Intel,8th,4127.52
MSI,Katana,16,512,Intel,11th,4559.52
HP,Pavilion,16,512,Intel,11th,4416.0
HP,Spectre,16,512,Intel,10th,7823.52
DELL,XPS,16,512,Intel,11th,6494.4
MSI,Modern,16,512,Intel,11th,3119.52
Lenovo,ThinkPad,16,512,Intel,10th,8377.3
Lenovo,ThinkPad,16,512,Intel,10th,7790.35
DELL,Inspiron,16,512,Intel,10th,5241.12
HP,Pavilion,16,512,Intel,11th,4799.95
MSI,Prestige,16,512,Intel,10th,5039.52
ASUS,ZenBook,16,512,Intel,8th,4799.52
ASUS,ZenBook,16,512,Intel,11th,4559.52
Lenovo,Ideapad,16,512,Intel,8th,4128.0
Lenovo,Intel,16,512,Intel,11th,5327.95
ASUS,ZenBook,8,512,Intel,8th,3935.52
MSI,GF63,8,512,Intel,9th,3215.52
MSI,GF65,16,1024,Intel,10th,4079.52
ASUS,Zenbook,16,1024,Intel,11th,5039.52
ASUS,ZenBook,16,1024,Intel,11th,6479.52
ASUS,ASUS,16,1024,Intel,11th,4751.52
HP,Envy,16,1024,Intel,10th,6945.12
ASUS,ZenBook,16,1024,Intel,11th,4799.52
MSI,Stealth,16,1024,Intel,11th,5759.52
ASUS,Zephyrus,16,1024,Intel,11th,9359.52
ASUS,ZenBook,16,1024,Intel,10th,5999.52
DELL,Inspiron,16,1024,Intel,11th,5875.68
HP,Spectre,16,1024,Intel,10th,8639.52
MSI,Summit,16,1024,Intel,11th,7439.52
Lenovo,Yoga,16,1024,Intel,11th,5903.52
MSI,Stealth,16,1024,Intel,12th,13439.52
HP,OMEN,16,1024,Intel,11th,5855.52
HP,OMEN,16,1024,Intel,11th,5615.52
Lenovo,Legion,16,1024,Intel,11th,7252.7
MSI,Pulse,16,1024,Intel,11th,6239.52
HP,Spectre,16,1024,Intel,11th,7199.95
acer,Predator,16,1024,Intel,11th,6239.52
HP,OMEN,16,1024,Intel,11th,8255.52
DELL,Inspiron,16,1024,Intel,11th,4509.84
ASUS,ROG,16,1024,Intel,10th,11279.52
HP,Spectre,16,1024,Intel,11th,6168.0
Lenovo,Yoga,16,1024,Intel,11th,4943.52
ASUS,ZenBook,16,1024,Intel,11th,5759.52
ASUS,Zephyrus,16,1024,Intel,11th,7547.95
ASUS,ASUS,16,1024,Intel,11th,6312.0
ASUS,ExpertBook,16,1024,Intel,10th,7439.52
ASUS,ExpertBook,16,1024,Intel,10th,7967.52
Lenovo,Yoga,16,1024,Intel,10th,5759.52
ASUS,ExpertBook,16,1024,Intel,10th,8063.52
HP,Spectre,16,1024,Intel,11th,7920.0
Avita,Liber,16,1024,Intel,10th,3023.52
Lenovo,ThinkBook,16,1024,Intel,11th,4127.52
HP,HP,16,1024,Intel,11th,4559.52
HP,Omen,16,1024,Intel,11th,6575.52
Lenovo,Legion,16,1024,Intel,10th,11279.52
acer,Predator,16,2048,Intel,10th,7679.52
ASUS,ExpertBook,16,2048,Intel,10th,11231.52
ASUS,ExpertBook,16,0,Intel,10th,4511.52
HP,15,16,128,Intel,8th,5613.17
MSI,GF63,8,256,Intel,10th,3071.52
ASUS,VivoBook,16,256,Intel,10th,3215.52
acer,Predator,16,256,Intel,10th,5759.52
MSI,WF65,16,256,Intel,10th,7679.52
ASUS,Pro,16,256,Intel,8th,4747.78
acer,Predator,16,512,Intel,11th,4463.52
acer,Predator,16,512,Intel,11th,5759.52
acer,Predator,32,1024,Intel,11th,8159.52
acer,Predator,16,1024,Intel,11th,6719.52
MSI,Creator,16,1024,Intel,11th,9263.52
ASUS,ROG,16,1024,Intel,12th,14399.52
ASUS,ASUS,16,1024,Intel,11th,6719.52
ASUS,Zephyrus,16,3072,Intel,11th,21215.52
Smartron,t.book,4,128,Intel,7th,2063.52
MSI,Katana,8,0,Intel,10th,4175.52
MSI,Pulse,8,0,Intel,10th,5279.52
MSI,Pulse,8,0,Intel,10th,5260.32
ASUS,ROG,16,0,Intel,10th,7031.52
HP,Chromebook,4,0,Intel,10th,2963.76
ASUS,ZenBook,4,0,Intel,10th,10065.12
ASUS,ZenBook,4,0,Intel,10th,8409.12
DELL,G15,8,0,Intel,10th,3624.0
DELL,G15,4,0,Intel,10th,4607.52
APPLE,MacBook,8,256,M1,10th,4127.52
APPLE,MacBook,8,256,M1,10th,5423.52
APPLE,MacBook,16,256,M1,10th,5039.52
APPLE,MacBook,8,256,M1,10th,5423.52
APPLE,MacBook,16,256,M1,10th,6383.52
APPLE,MacBook,16,256,M1,10th,5039.52
APPLE,MacBook,8,256,M1,10th,4127.52
